Navn;Stasjon;Tid(norsk normaltid);Regional middeltemperatur, beregnet med normalperiode 1961-1990 (mnd);Regional middeltemperatur, beregnet med normalperiode 1991-2020 (mnd)
Region Norge;GR0;09.1942;5,95;5,89
Region Norge;GR0;10.1942;1,24;0,91
Region Norge;GR0;11.1942;-1,74;-2,33
Region Norge;GR0;12.1942;-4,59;-5,51
Region Norge;GR0;01.1943;-8,65;-9,84
Region Norge;GR0;02.1943;-3,26;-4,09
Region Norge;GR0;03.1943;-1,69;-2,41
Region Norge;GR0;04.1943;-0,22;-0,57
Region Norge;GR0;05.1943;3,8;4,15
Region Norge;GR0;06.1943;8,26;9,26
Region Norge;GR0;07.1943;10,93;11,92
Region Norge;GR0;08.1943;9,15;9,23
Region Norge;GR0;09.1943;6,42;6,36
Region Norge;GR0;10.1943;3,17;2,84
Region Norge;GR0;11.1943;-2,32;-2,91
Region Norge;GR0;12.1943;-3,53;-4,46
Region Norge;GR0;01.1944;-4,97;-6,15
Region Norge;GR0;02.1944;-4,97;-5,82
Region Norge;GR0;03.1944;-4,79;-5,52
Region Norge;GR0;04.1944;-2,11;-2,47
Region Norge;GR0;05.1944;1,99;2,33
Region Norge;GR0;06.1944;6,66;7,65
Region Norge;GR0;07.1944;11,1;12,1
Region Norge;GR0;08.1944;10,64;10,73
Region Norge;GR0;09.1944;6,41;6,35
Region Norge;GR0;10.1944;3,33;3
Region Norge;GR0;11.1944;-2,82;-3,41
Region Norge;GR0;12.1944;-2,67;-3,59
Region Norge;GR0;01.1945;-9,25;-10,44
Region Norge;GR0;02.1945;-5,01;-5,86
Region Norge;GR0;03.1945;-2,37;-3,09
Region Norge;GR0;04.1945;0,68;0,33
Region Norge;GR0;05.1945;3,51;3,86
Region Norge;GR0;06.1945;7,49;8,49
Region Norge;GR0;07.1945;12,1;13,09
Region Norge;GR0;08.1945;12,13;12,22
Region Norge;GR0;09.1945;6,21;6,15
Region Norge;GR0;10.1945;1,2;0,87
Region Norge;GR0;11.1945;-2,64;-3,23
Region Norge;GR0;12.1945;-5,64;-6,56
Region Norge;GR0;01.1946;-5,51;-6,7
Region Norge;GR0;02.1946;-8,97;-9,83
Region Norge;GR0;03.1946;-5,2;-5,94
Region Norge;GR0;04.1946;0,45;0,1
Region Norge;GR0;05.1946;4,24;4,59
Region Norge;GR0;06.1946;7,72;8,72
